,m1,m2,m3,m4,m5,m6
1525248500.00,52011.89,-1.36,36.54,23.12,-82.19,0.00
1525249500.00,52011.81,-1.09,36.43,23.11,-82.06,0.00
1525250500.00,52010.85,-0.32,36.46,23.11,-82.19,0.00
1525251500.00,52010.44,0.10,36.48,23.08,-82.23,0.00
1525252500.00,52011.47,0.97,36.60,23.09,-81.72,0.00
1525253500.00,52011.14,0.95,36.55,23.20,-81.70,0.00
1525254500.00,52008.73,1.28,36.56,23.09,-82.39,0.00
1525255500.00,52009.58,2.11,36.74,23.15,-82.00,0.00
1525256500.00,52007.80,2.63,36.77,23.05,-82.43,0.00
1525257500.00,52008.30,2.63,36.83,23.16,-82.15,0.00
1525258500.00,52006.82,3.14,36.81,23.08,-82.57,0.00
1525259500.00,52008.27,3.27,36.81,23.22,-81.96,0.00
1525260500.00,52006.55,4.35,37.03,23.15,-82.46,0.00
1525261500.00,52006.46,4.25,36.97,23.14,-82.38,0.00
1525262500.00,52005.95,4.44,37.02,23.16,-82.43,0.00
1525263500.00,52006.17,4.80,37.06,23.21,-82.24,0.00
1525264500.00,52000.86,4.84,37.20,23.14,-82.97,0.00
1525265500.00,51999.53,4.70,37.28,23.14,-82.99,0.00
1525266500.00,52000.27,4.58,37.30,23.10,-82.68,0.00
1525267500.00,51998.92,3.71,37.41,23.16,-83.03,0.00
1525268500.00,51999.67,3.36,37.46,23.08,-82.83,0.00
1525269500.00,51999.02,1.91,37.47,23.18,-83.08,0.00
1525270500.00,52000.48,1.00,37.51,23.16,-82.57,0.00
